Código (vai no QR);Nome que a equipe vê;Tipo de lugar;Zona;Equipe que recebe;Texto da placa;Conferir
WC-FEM-HYPE-PISTA;Sanitários Femininos Hype • Pista;Sanitários;Pista;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
WC-MASC-HYPE-PISTA;Sanitários Masculinos Hype • Pista;Sanitários;Pista;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
WC-FEM-HYPE-LOUNGE;Sanitários Femininos Hype • Tropical Lounge;Sanitários;Tropical Lounge;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
WC-MASC-HYPE-LOUNGE;Sanitários Masculinos Hype • Tropical Lounge;Sanitários;Tropical Lounge;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
WC-FEM-HYPE-BACKSTAGE;Sanitários Femininos Hype • Backstage Hype;Sanitários;Backstage Hype;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
WC-MASC-HYPE-BACKSTAGE;Sanitários Masculinos Hype • Backstage Hype;Sanitários;Backstage Hype;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
WC-FEM-TROPICAL-PISTA;Sanitários Femininos Tropical • Pista;Sanitários;Pista;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
WC-MASC-TROPICAL-PISTA;Sanitários Masculinos Tropical • Pista;Sanitários;Pista;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
WC-FEM-TROPICAL-LOUNGE;Sanitários Femininos Tropical • Tropical Lounge;Sanitários;Tropical Lounge;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
WC-MASC-TROPICAL-LOUNGE;Sanitários Masculinos Tropical • Tropical Lounge;Sanitários;Tropical Lounge;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
WC-FEM-FEIRINHA-PISTA;Sanitários Femininos Feirinha • Pista;Sanitários;Pista;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
WC-MASC-FEIRINHA-PISTA;Sanitários Masculinos Feirinha • Pista;Sanitários;Pista;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
WC-FEM-OPENFOOD-LOUNGE;Sanitários Femininos Open Food • Tropical Lounge;Sanitários;Tropical Lounge;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
WC-MASC-OPENFOOD-LOUNGE;Sanitários Masculinos Open Food • Tropical Lounge;Sanitários;Tropical Lounge;limpeza_higienizacao;Falta papel, sabonete ou a fila travou? Avise a equipe.;
